date,LineItem,quantity,price,discounts,netTotal,purchaseNumber,daysSinceLastPurch,quantity_364,price_364,discounts_364,netTotal_364,quantity_28,price_28,discounts_28,netTotal_28,quantity_7,price_7,discounts_7,netTotal_7
2018-01-06,Aubergine and Chickpea Vindaloo,10,4,0,35,1.125,87541.625,18,4,0,61,6,4,0,21,9,4,2,18
2018-01-06,Beef and Apple Burgers,38,12,1,426,2.588235294117647,47125.5,30,15,0,456,50,12,1,558,31,15,0,471
2018-01-06,Beef and Broccoli,25,8,0,233,2.5,62575.875,17,15,0,262,24,13,0,315,26,16,0,419
2018-01-06,Beef and Broccoli Stir Fry,24,10,0,237,2,63681.954545454544,14,10,1,127,19,10,0,190,15,10,0,150
2018-01-06,Beef and Squash Kabob,47,7,0,403,2.5476190476190474,66780.19047619047,59,7,0,494,66,7,0,544,49,7,0,417
2018-01-06,Chicken and Onion Kabob,81,10,0,876,8.36986301369863,53542.97260273973,62,9,1,651,77,10,0,863,41,10,0,460
2018-01-06,Chutney,21,2,0,45,1.5714285714285714,66722.85714285714,14,2,0,46,27,2,0,68,24,2,0,68
2018-01-06,Coconut and Beef Vindaloo,11,4,0,38,3.4444444444444446,33578.666666666664,12,4,0,42,12,4,0,40,12,4,0,42
2018-01-06,Fountain Drink,40,2,0,79,2.5384615384615383,50106.769230769234,33,2,0,66,54,2,0,105,35,2,0,70
2018-01-06,Lamb and Veggie Kabob,14,8,0,130,5.714285714285714,42975.57142857143,11,8,0,103,17,8,1,150,6,8,0,60
2018-01-06,Lamb Chops,15,9,1,123,3.2,53449.333333333336,16,12,0,194,19,11,0,209,11,18,4,155
2018-01-06,Naan,11,2,0,22,3.3636363636363638,63698.90909090909,17,2,0,58,23,2,0,54,22,2,0,58
2018-01-06,Rice,35,2,0,82,2.0476190476190474,57287.09523809524,16,2,0,34,17,2,0,40,18,2,0,56
2018-01-06,Salmon and Wheat Bran Salad,123,12,0,1571,4.923076923076923,54887.028846153844,64,15,0,980,116,15,0,1705,111,18,1,1879
2018-01-06,Yogurt,37,3,1,137,1.606060606060606,72803.87878787878,30,3,0,109,64,3,0,303,51,3,0,242
2018-01-08,Aubergine and Chickpea Vindaloo,7,4,0,24,1,99999,7,4,0,24,12,4,0,42,0,0,0,0
2018-01-08,Beef and Apple Burgers,20,17,0,336,5.1,40162.15,12,22,0,265,23,12,1,256,0,0,0,0
2018-01-08,Beef and Broccoli,18,10,0,168,1.5,68807.75,6,6,0,31,10,9,0,87,0,0,0,0
2018-01-08,Beef and Broccoli Stir Fry,6,10,0,61,1.3333333333333333,66738.66666666667,11,10,0,108,7,10,0,67,0,0,0,0
2018-01-08,Beef and Squash Kabob,43,7,0,367,1.8717948717948718,69303.79487179487,20,7,0,165,23,7,1,185,0,0,0,0
2018-01-08,Chicken and Onion Kabob,47,10,1,506,3.255813953488372,60497.72093023256,37,10,2,360,43,10,1,467,0,0,0,0
2018-01-08,Chutney,16,2,0,47,2.357142857142857,64307,10,2,0,19,8,2,0,20,0,0,0,0
2018-01-08,Coconut and Beef Vindaloo,9,4,0,32,5.25,25120,15,4,0,52,11,4,0,38,0,0,0,0
